Year,Agency,Category,Detail,Vendor,Federal
2011,PUBLIC SAFETY,SUPPLIES,LAW ENFORCEMENT SUPPLIES,MEGGITT TRAINING SYSTEMS INC,1378.58
2011,CORRECTIONS,PROFESSIONAL SERVICES,EXPRESS & FREIGHT SERVICES,MEGGITT TRAINING SYSTEMS INC,33.89
2011,PUBLIC SAFETY,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,MEGGITT TRAINING SYSTEMS INC,9631.94
2011,CORRECTIONS,REPAIR & MAINTENANCE SERVICES,SPECIFIC USE EQUIP  REPAIR & MAINTENANCE,MEGGITT TRAINING SYSTEMS INC,1902.67
2011,PUBLIC SAFETY,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,MEGGITT TRAINING SYSTEMS INC,1442.04
2011,PUBLIC SAFETY,REPAIR & MAINTENANCE SERVICES,SPECIFIC USE EQUIP  REPAIR & MAINTENANCE,MEGGITT TRAINING SYSTEMS INC,1032.6
2011,PUBLIC SAFETY,SUPPLIES,ELECTRICAL SUPPLIES,MEGGITT TRAINING SYSTEMS INC,238
2011,PUBLIC SAFETY,SUPPLIES,MECHANICAL SUPPLIES,MEGGITT TRAINING SYSTEMS INC,19979.92
2011,PUBLIC SAFETY,SUPPLIES,MECHANICAL SUPPLIES,MEGGITT TRAINING SYSTEMS INC,586.8
2011,PUBLIC SAFETY,REPAIR & MAINTENANCE SERVICES,ELECTRONIC & PHOTO EQUIP REPAIR & MAINT,MEGGITT TRAINING SYSTEMS INC,1514.55
2011,OFFICE OF ADMINISTRATION,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,MEGGITT TRAINING SYSTEMS INC,950
2011,TRANSPORTATION,SUPPLIES,PLUMBING SUPPLIES,MENARDS,8.73
2011,OFFICE OF ADMINISTRATION,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,MENARDS,29.8
2011,TRANSPORTATION,SUPPLIES,ELECTRICAL SUPPLIES,MENARDS,59.89
2011,OFFICE OF ADMINISTRATION,SUPPLIES,BUILDING REPAIR SUPPLIES,MENARDS,1490.04
2011,TRANSPORTATION,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,MENARDS,3343.33
2011,OFFICE OF ADMINISTRATION,OTHER EQUIPMENT,OTHER EQUIPMENT,MENARDS,18.99
2011,TRANSPORTATION,SUPPLIES,BUILDING REPAIR SUPPLIES,MENARDS,6209.16
2011,TRANSPORTATION,OTHER EQUIPMENT,OTHER EQUIPMENT,MENARDS,704.3
2011,TRANSPORTATION,PROPERTY & IMPROVEMENTS,OTHER PROPERTY & IMPROVEMENTS,MENARDS,552.91
2011,TRANSPORTATION,SUPPLIES,CUSTODIAL SUPPLIES,MENARDS,9.52
2011,TRANSPORTATION,SUPPLIES,AGRICULTURE/GROUNDS SUPPLIES,MENARDS,9.48
2011,CONSERVATION,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,MERCURY MARINE,6217.25
2011,PUBLIC SAFETY,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,MERCURY MARINE,52837.32
2011,CONSERVATION,SUPPLIES,MECHANICAL SUPPLIES,MERCURY MARINE,60
2011,PUBLIC SAFETY,MOTORIZED EQUIPMENT,BOATS & MOTORS,MERCURY MARINE,177440
2011,CONSERVATION,SUPPLIES,EDUCATION SUPPLIES,MERCURY MARINE,30
2011,PUBLIC SAFETY,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,MERCURY MARINE,8339.19
2011,CONSERVATION,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,MERCURY MARINE,32.11
2011,PUBLIC SAFETY,SUPPLIES,VEHICLE REPAIR SUPPLIES,MERCURY MARINE,430.44
2011,CONSERVATION,SUPPLIES,PUBLICATIONS & SUBSCRIPTIONS,MERCURY MARINE,270
2011,CONSERVATION,MOTORIZED EQUIPMENT,BOATS & MOTORS,MERCURY MARINE,55978
2011,CONSERVATION,MOTORIZED EQUIPMENT,BOATS & MOTORS,MERCURY MARINE,63403
2011,CONSERVATION,PROFESSIONAL DEVELOPMENT,OTHER PROFESSIONAL DEVELOPMENT,MERCURY MARINE,625
2011,CONSERVATION,SUPPLIES,VEHICLE REPAIR SUPPLIES,MERCURY MARINE,828.28
2011,SOCIAL SERVICES,MISCELLANEOUS EXPENSES,COPIES OF RECORDS,MERCY MEDICAL GROUP,32.71
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,MEDICAL ASSIST SERVICES,MERCY MEDICAL GROUP,438.69
2011,SOCIAL SERVICES,MISCELLANEOUS EXPENSES,COPIES OF RECORDS,MERCY MEDICAL GROUP,73.64
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,MEDICAL ASSIST SERVICES,MERCY MEDICAL GROUP,29.47
2011,SOCIAL SERVICES,MISCELLANEOUS EXPENSES,COPIES OF RECORDS,MERCY MEDICAL GROUP,30.25
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,MEDICAL ASSIST SERVICES,MERCY MEDICAL GROUP,176.26
2011,SOCIAL SERVICES,PROFESSIONAL SERVICES,MEDICAL & DENTAL SERVICES,MERCY MEDICAL GROUP,33.39
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,MEDICAL ASSIST SERVICES,MERCY MEDICAL GROUP,107.03
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,MEDICAL ASSIST SERVICES,MERCY MEDICAL GROUP,528.93
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,MEDICAL ASSIST SERVICES,MERCY MEDICAL GROUP,28.95
2011,MENTAL HEALTH,MISCELLANEOUS EXPENSES,COPIES OF RECORDS,MERCY MEDICAL GROUP,39.76
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,MEDICAL ASSIST SERVICES,MERCY MEDICAL GROUP,154.56
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,MEDICAL ASSIST SERVICES,MERCY MEDICAL GROUP,1080.99
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,MEDICAL ASSIST SERVICES,MERCY MEDICAL GROUP,27.02
2011,OFFICE OF ADMINISTRATION,HOUSEKEEP & JANITOR SERVICES,HOUSEKEEP & JANITOR SERVICES,MERS MISSOURI GOODWILL IND,5854.95
2011,SOCIAL SERVICES,PROFESSIONAL SERVICES,OTHER PROFESSIONAL SERVICES,MERS MISSOURI GOODWILL IND,3590097.48
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,MEDICAL ASSIST SERVICES,MERS MISSOURI GOODWILL IND,14477.49
2011,SOCIAL SERVICES,PROGRAM DISTRIBUTIONS,CLIENT ASSISTANCE SERVICES,MERS MISSOURI GOODWILL IND,5874.98
2011,MENTAL HEALTH,PROGRAM DISTRIBUTIONS,MENTAL HEALTH PAYMNTS-1099 YES,MERS MISSOURI GOODWILL IND,14032.06
2011,SOCIAL SERVICES,PROGRAM DISTRIBUTIONS,OTHER ASSISTANCE BENEFITS,MERS MISSOURI GOODWILL IND,142.5
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,OTHER ASSISTANCE BENEFITS,MERS MISSOURI GOODWILL IND,74871.21
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,AID EDUC INSTIT & SCHOOL DIST,MERS MISSOURI GOODWILL IND,3887
2011,HEALTH AND SENIOR SERVICES,PROGRAM DISTRIBUTIONS,PROGRAM REIMBURSEMENTS,MERS MISSOURI GOODWILL IND,1665779.81
2011,ECONOMIC DEVELOPMENT,PROGRAM DISTRIBUTIONS,OTHER ASSISTANCE BENEFITS,MERS MISSOURI GOODWILL IND,2904
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,CLIENT ASSISTANCE SERVICES,MERS MISSOURI GOODWILL IND,4383465.52
2011,CORRECTIONS,PROFESSIONAL SERVICES,EDUCATIONAL SERVICES,MERS MISSOURI GOODWILL IND,22656.93
2011,CORRECTIONS,PROFESSIONAL SERVICES,OTHER PROFESSIONAL SERVICES,MERS MISSOURI GOODWILL IND,856825.47
2011,CORRECTIONS,PROFESSIONAL SERVICES,REHABILITATIVE SERVICES,MERS MISSOURI GOODWILL IND,88038.9
2011,TRANSPORTATION,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,METAL CULVERTS INC,141196.88
2011,NATURAL RESOURCES,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,METAL CULVERTS INC,1206.4
2011,CONSERVATION,SUPPLIES,BUILDING REPAIR SUPPLIES,METAL CULVERTS INC,30547.4
2011,NATURAL RESOURCES,PROPERTY & IMPROVEMENTS,SITE IMPROVEMENTS,METAL CULVERTS INC,2019.93
2011,CONSERVATION,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,METAL CULVERTS INC,114.8
2011,OFFICE OF ADMINISTRATION,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,METAL CULVERTS INC,453.8
2011,NATURAL RESOURCES,PROPERTY & IMPROVEMENTS,PROPERTY & IMPROVEMENTS,METAL CULVERTS INC,2846.85
2011,NATURAL RESOURCES,SUPPLIES,AGRICULTURE/GROUNDS SUPPLIES,METAL CULVERTS INC,780.35
2011,PUBLIC SAFETY,PROPERTY & IMPROVEMENTS,PROPERTY & IMPROVEMENTS,METAL CULVERTS INC,655.1
2011,NATURAL RESOURCES,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,METAL CULVERTS INC,5232.95
2011,SOCIAL SERVICES,SUPPLIES,EDUCATION SUPPLIES,METALWELD INC,1002.97
2011,OFFICE OF ADMINISTRATION,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,METALWELD INC,353.74
2011,TRANSPORTATION,REPAIR & MAINTENANCE SERVICES,SPECIFIC USE EQUIP  REPAIR & MAINTENANCE,METALWELD INC,85
2011,CORRECTIONS,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,METALWELD INC,42.48
2011,TRANSPORTATION,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,METALWELD INC,2588.94
2011,CORRECTIONS,PROFESSIONAL SERVICES,OTHER PROFESSIONAL SERVICES,METALWELD INC,9
2011,TRANSPORTATION,OTHER EQUIPMENT,TOOLS & SHOP EQUIPMENT,METALWELD INC,4250.69
2011,CONSERVATION,OTHER EQUIPMENT,TOOLS & SHOP EQUIPMENT,METALWELD INC,2975
2011,TRANSPORTATION,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,METALWELD INC,218.92
2011,TRANSPORTATION,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,METALWELD INC,11052.29
2011,TRANSPORTATION,OTHER EQUIPMENT,OTHER EQUIPMENT,METALWELD INC,11.44
2011,SOCIAL SERVICES,EQUIPMENT RENTAL & LEASES,OTHER EQUIPMENT RENTALS,METALWELD INC,144
2011,TRANSPORTATION,SUPPLIES,MECHANICAL SUPPLIES,METALWELD INC,26.25
2011,TRANSPORTATION,OTHER EQUIPMENT,TOOLS & SHOP EQUIPMENT,METALWELD INC,2995
2011,TRANSPORTATION,REPAIR & MAINTENANCE SERVICES,VEHICLE REPAIR & MAINTENANCE,METALWELD INC,67.5
2011,TRANSPORTATION,EQUIPMENT RENTAL & LEASES,OTHER EQUIPMENT RENTALS,METALWELD INC,11400
2011,TRANSPORTATION,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,METALWELD INC,551.37
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,AID EDUC INSTIT & SCHOOL DIST,METRO BUSINESS COLLEGE,58598.99
2011,SOCIAL SERVICES,PROGRAM DISTRIBUTIONS,OTHER ASSISTANCE BENEFITS,METRO BUSINESS COLLEGE,5292
2011,ECONOMIC DEVELOPMENT,PROGRAM DISTRIBUTIONS,AID EDUC INSTIT & SCHOOL DIST,METRO BUSINESS COLLEGE,64572.5
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,OTHER ASSISTANCE BENEFITS,METRO BUSINESS COLLEGE,6435
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,CLIENT ASSISTANCE SERVICES,METRO BUSINESS COLLEGE,29427.95
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,OTHER ASSISTANCE BENEFITS,METRO BUSINESS COLLEGE,1041
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,CLIENT ASSISTANCE SERVICES,METRO BUSINESS COLLEGE,38338.93
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,CLIENT ASSISTANCE SERVICES,METRO BUSINESS COLLEGE,8459
2011,ECONOMIC DEVELOPMENT,PROGRAM DISTRIBUTIONS,EDUCATION ASSIST PAYMENTS,METRO BUSINESS COLLEGE,174416.66
2011,ECONOMIC DEVELOPMENT,PROGRAM DISTRIBUTIONS,EDUCATION ASSIST PAYMENTS,METRO BUSINESS COLLEGE,203292
2011,ECONOMIC DEVELOPMENT,PROGRAM DISTRIBUTIONS,EDUCATION ASSIST PAYMENTS,METRO BUSINESS COLLEGE,40582
2011,ECONOMIC DEVELOPMENT,PROGRAM DISTRIBUTIONS,EDUCATION ASSIST PAYMENTS,METRO BUSINESS COLLEGE,136610
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,CLIENT ASSISTANCE SERVICES,METRO BUSINESS COLLEGE,6107.6
2011,SOCIAL SERVICES,PROFESSIONAL DEVELOPMENT,"CONVENTION, CONFERENCE & TRAINING FEES",METRO OFFICE SOLUTIONS INC,182.18
2011,HEALTH AND SENIOR SERVICES,SUPPLIES,CUSTODIAL SUPPLIES,METRO OFFICE SOLUTIONS INC,32.17
2011,SOCIAL SERVICES,SUPPLIES,EDUCATION SUPPLIES,METRO OFFICE SOLUTIONS INC,2095.23
2011,LABOR AND INDUSTRIAL RELATIONS,SUPPLIES,OFFICE SUPPLIES,METRO OFFICE SOLUTIONS INC,7001.92
2011,SOCIAL SERVICES,SUPPLIES,OFFICE SUPPLIES,METRO OFFICE SOLUTIONS INC,8895.66
2011,LABOR AND INDUSTRIAL RELATIONS,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,METRO OFFICE SOLUTIONS INC,996.63
2011,CORRECTIONS,OFFICE EQUIPMENT,OFFICE EQUIP &FURNITURE,METRO OFFICE SOLUTIONS INC,1406.6
2011,LABOR AND INDUSTRIAL RELATIONS,OFFICE EQUIPMENT,OFFICE EQUIP &FURNITURE,METRO OFFICE SOLUTIONS INC,1131.6
2011,ECONOMIC DEVELOPMENT,SUPPLIES,OFFICE SUPPLIES,METRO OFFICE SOLUTIONS INC,2941.17
2011,LABOR AND INDUSTRIAL RELATIONS,OTHER EQUIPMENT,OTHER EQUIPMENT,METRO OFFICE SOLUTIONS INC,123
2011,CORRECTIONS,SUPPLIES,CUSTODIAL SUPPLIES,METRO OFFICE SOLUTIONS INC,600
2011,MENTAL HEALTH,SUPPLIES,OTHER ADMINISTRATIVE SUPPLIES,METRO OFFICE SOLUTIONS INC,77.6
2011,CORRECTIONS,SUPPLIES,OFFICE SUPPLIES,METRO OFFICE SOLUTIONS INC,2073.96
2011,"INSURANCE, FIN INST AND PROF REGISTRATION",SUPPLIES,OFFICE SUPPLIES,METRO OFFICE SOLUTIONS INC,110.76
2011,PUBLIC SAFETY,OFFICE EQUIPMENT,OFFICE EQUIP &FURNITURE,METRO OFFICE SOLUTIONS INC,89.08
2011,HEALTH AND SENIOR SERVICES,SUPPLIES,OFFICE SUPPLIES,METRO OFFICE SOLUTIONS INC,3885.85
2011,OFFICE OF ADMINISTRATION,SUPPLIES,OFFICE SUPPLIES,METRO OFFICE SOLUTIONS INC,43.07
2011,MENTAL HEALTH,OFFICE EQUIPMENT,OFFICE EQUIP &FURNITURE,METRO OFFICE SOLUTIONS INC,344.86
2011,OFFICE OF SECRETARY OF STATE,OFFICE EQUIPMENT,OFFICE EQUIP &FURNITURE,METRO OFFICE SOLUTIONS INC,153.3
2011,MENTAL HEALTH,SUPPLIES,OFFICE SUPPLIES,METRO OFFICE SOLUTIONS INC,2630.26
2011,OFFICE OF SECRETARY OF STATE,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,METRO OFFICE SOLUTIONS INC,299.76
2011,LABOR AND INDUSTRIAL RELATIONS,SUPPLIES,MEDICAL & DENTAL SUPPLIES,METRO OFFICE SOLUTIONS INC,35.2
2011,PUBLIC SAFETY,SUPPLIES,OFFICE SUPPLIES,METRO OFFICE SOLUTIONS INC,274.48
2011,OFFICE OF SECRETARY OF STATE,SUPPLIES,INFORMATION TECHNOLOGY SUPPLIES,METRO OFFICE SOLUTIONS INC,8.99
2011,OFFICE OF ATTORNEY GENERAL,SUPPLIES,OFFICE SUPPLIES,METRO OFFICE SOLUTIONS INC,6117.2
2011,OFFICE OF SECRETARY OF STATE,SUPPLIES,OFFICE SUPPLIES,METRO OFFICE SOLUTIONS INC,65.4
2011,SOCIAL SERVICES,PROGRAM DISTRIBUTIONS,OTHER ASSISTANCE BENEFITS,METROPOLITAN COMMUNITY COLLEGE,19931.58
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,AID EDUC INSTIT & SCHOOL DIST,METROPOLITAN COMMUNITY COLLEGE,176642
2011,SOCIAL SERVICES,BUILDING LEASE PAYMENTS,MEETING ROOM/EXHIBIT SPACE RENTALS,METROPOLITAN COMMUNITY COLLEGE,50
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,AID EDUC INSTIT & SCHOOL DIST,METROPOLITAN COMMUNITY COLLEGE,82293.46
2011,TRANSPORTATION,PROFESSIONAL DEVELOPMENT,"CONVENTION, CONFERENCE & TRAINING FEES",METROPOLITAN COMMUNITY COLLEGE,749
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,CLIENT ASSISTANCE SERVICES,METROPOLITAN COMMUNITY COLLEGE,10440.53
2011,SOCIAL SERVICES,PROGRAM DISTRIBUTIONS,EDUCATION ASSIST PAYMENTS,METROPOLITAN COMMUNITY COLLEGE,40
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,CLIENT ASSISTANCE SERVICES,METROPOLITAN COMMUNITY COLLEGE,16886.67
2011,SOCIAL SERVICES,PROGRAM DISTRIBUTIONS,EDUCATION ASSIST PAYMENTS,METROPOLITAN COMMUNITY COLLEGE,865
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,CLIENT ASSISTANCE SERVICES,METROPOLITAN COMMUNITY COLLEGE,1730.25
2011,HIGHER EDUCATION,PROGRAM DISTRIBUTIONS,EDUCATION ASSIST PAYMENTS,METROPOLITAN COMMUNITY COLLEGE,880469
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,CLIENT ASSISTANCE SERVICES,METROPOLITAN COMMUNITY COLLEGE,62861.03
2011,PUBLIC SAFETY,PROFESSIONAL SERVICES,EDUCATIONAL SERVICES,METROPOLITAN COMMUNITY COLLEGE,6450
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,AID EDUC INSTIT & SCHOOL DIST,METROPOLITAN COMMUNITY COLLEGE,1057.75
2011,OFFICE OF ADMINISTRATION,FUEL & UTILITIES,WATER & SEWAGE,METROPOLITAN COMMUNITY COLLEGE,2800
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,AID EDUC INSTIT & SCHOOL DIST,METROPOLITAN COMMUNITY COLLEGE,130715.5
2011,PUBLIC SAFETY,PROFESSIONAL DEVELOPMENT,TUITION EXPENSES,METROPOLITAN COMMUNITY COLLEGE,30789.15
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,AID EDUC INSTIT & SCHOOL DIST,METROPOLITAN COMMUNITY COLLEGE,124541
2011,ELEMENTARY AND SECONDARY EDUCATION,PROFESSIONAL DEVELOPMENT,"CONVENTION, CONFERENCE & TRAINING FEES",METROPOLITAN COMMUNITY COLLEGE,1026
2011,ECONOMIC DEVELOPMENT,PROGRAM DISTRIBUTIONS,AID EDUC INSTIT & SCHOOL DIST,METROPOLITAN COMMUNITY COLLEGE,17054.95
2011,ECONOMIC DEVELOPMENT,PROGRAM DISTRIBUTIONS,EDUCATION ASSIST PAYMENTS,METROPOLITAN COMMUNITY COLLEGE,7499.81
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,CLIENT ASSISTANCE SERVICES,METROPOLITAN COMMUNITY COLLEGE,138040.79
2011,ECONOMIC DEVELOPMENT,PROGRAM DISTRIBUTIONS,AID EDUC INSTIT & SCHOOL DIST,METROPOLITAN COMMUNITY COLLEGE,6263.54
2011,NATURAL RESOURCES,FUEL & UTILITIES,WATER & SEWAGE,METROPOLITAN ST LOUIS SEWER,2590.74
2011,CONSERVATION,FUEL & UTILITIES,WATER & SEWAGE,METROPOLITAN ST LOUIS SEWER,593.22
2011,PUBLIC SAFETY,FUEL & UTILITIES,OTHER FUEL & UTILITIES,METROPOLITAN ST LOUIS SEWER,350.51
2011,REVENUE,FUEL & UTILITIES,WATER & SEWAGE,METROPOLITAN ST LOUIS SEWER,644.36
2011,NATURAL RESOURCES,PROGRAM DISTRIBUTIONS,LOAN DISBURSE OTHER ENTITIES,METROPOLITAN ST LOUIS SEWER,2770574.59
2011,TRANSPORTATION,FUEL & UTILITIES,WATER & SEWAGE,METROPOLITAN ST LOUIS SEWER,3788.93
2011,OFFICE OF ADMINISTRATION,FUEL & UTILITIES,WATER & SEWAGE,METROPOLITAN ST LOUIS SEWER,255668.09
2011,TRANSPORTATION,FUEL & UTILITIES,WATER & SEWAGE,METROPOLITAN ST LOUIS SEWER,27090.17
2011,NATURAL RESOURCES,PROGRAM DISTRIBUTIONS,LOAN DISBURSE OTHER ENTITIES,METROPOLITAN ST LOUIS SEWER,2577316.82
2011,OFFICE OF ADMINISTRATION,FUEL & UTILITIES,WATER & SEWAGE,METROPOLITAN ST LOUIS SEWER,313.38
2011,PUBLIC SAFETY,FUEL & UTILITIES,WATER & SEWAGE,METROPOLITAN ST LOUIS SEWER,29947.6
2011,OFFICE OF ADMINISTRATION,FUEL & UTILITIES,WATER & SEWAGE,METROPOLITAN ST LOUIS SEWER,5159.22
2011,NATURAL RESOURCES,FUEL & UTILITIES,ELECTRICITY,METROPOLITAN ST LOUIS SEWER,213.19
2011,MENTAL HEALTH,SUPPLIES,LAUNDRY & LINEN SUPPLIES,METRO ST LOUIS PSY IMPREST FND,7
2011,MENTAL HEALTH,OTHER EQUIPMENT,OTHER EQUIPMENT,METRO ST LOUIS PSY IMPREST FND,365.7
2011,MENTAL HEALTH,SUPPLIES,FOOD SERVICE SUPPLIES,METRO ST LOUIS PSY IMPREST FND,28.72
2011,MENTAL HEALTH,PROFESSIONAL SERVICES,PROFESSIONAL SPEAKER & ENTERTAINER SERV,METRO ST LOUIS PSY IMPREST FND,75
2011,MENTAL HEALTH,SUPPLIES,CLOTHING SUPPLIES,METRO ST LOUIS PSY IMPREST FND,28.47
2011,MENTAL HEALTH,SUPPLIES,PERSONAL CARE SUPPLIES,METRO ST LOUIS PSY IMPREST FND,74.86
2011,MENTAL HEALTH,SUPPLIES,RECREATIONAL SUPPLIES,METRO ST LOUIS PSY IMPREST FND,206.16
2011,MENTAL HEALTH,MISCELLANEOUS EXPENSES,AGENCY PROVIDED FOOD,METRO ST LOUIS PSY IMPREST FND,617.67
2011,MENTAL HEALTH,SUPPLIES,CUSTODIAL SUPPLIES,METRO ST LOUIS PSY IMPREST FND,7
2011,MENTAL HEALTH,MISCELLANEOUS EXPENSES,OTHER MISCELLANEOUS EXPENSE,METRO ST LOUIS PSY IMPREST FND,122
2011,MENTAL HEALTH,SUPPLIES,EDUCATION SUPPLIES,METRO ST LOUIS PSY IMPREST FND,10
2011,TRANSPORTATION,REPAIR & MAINTENANCE SERVICES,ELECTRICAL REPAIR & MAINTENANCE SERVICES,MEYER ELECTRIC CO,1288.66
2011,PUBLIC SAFETY,SUPPLIES,ELECTRICAL SUPPLIES,MEYER ELECTRIC CO,1865.37
2011,TRANSPORTATION,PROFESSIONAL SERVICES,OTHER PROFESSIONAL SERVICES,MEYER ELECTRIC CO,14974
2011,OFFICE OF ADMINISTRATION,SUPPLIES,ELECTRICAL SUPPLIES,MEYER ELECTRIC CO,1249.67
2011,TRANSPORTATION,PROPERTY & IMPROVEMENTS,INFRASTRUCTURE MAINTENANCE PAYMENTS,MEYER ELECTRIC CO,104847.18
2011,OFFICE OF ADMINISTRATION,SUPPLIES,REBILL INVENT/SUPPLY PURCH,MEYER ELECTRIC CO,3450
2011,TRANSPORTATION,PROPERTY & IMPROVEMENTS,INFRASTRUCTURE CONSTRUCTION PAYMENTS,MEYER ELECTRIC CO,544911.78
2011,OFFICE OF ADMINISTRATION,REPAIR & MAINTENANCE SERVICES,ELECTRICAL REPAIR & MAINTENANCE SERVICES,MEYER ELECTRIC CO,7483.37
2011,CONSERVATION,REPAIR & MAINTENANCE SERVICES,ELECTRICAL REPAIR & MAINTENANCE SERVICES,MEYER ELECTRIC CO,4230.24
2011,OFFICE OF ADMINISTRATION,PROFESSIONAL SERVICES,OTHER PROFESSIONAL SERVICES,MEYER ELECTRIC CO,22435.91
2011,OFFICE OF ADMINISTRATION,MISCELLANEOUS EXPENSES,OTHER REBILLABLE EXPENSES,MEYER ELECTRIC CO,8100
2011,PUBLIC SAFETY,REPAIR & MAINTENANCE SERVICES,ELECTRICAL REPAIR & MAINTENANCE SERVICES,MEYER ELECTRIC CO,12714
2011,OFFICE OF ADMINISTRATION,PROPERTY & IMPROVEMENTS,MAJOR BUILDING/FACILITY REPAIR SERVICES,MEYER ELECTRIC CO,1234826.18
2011,OFFICE OF ADMINISTRATION,PROPERTY & IMPROVEMENTS,"MINOR REPAIR, MAINT & IMPROVEMENT SERV",MEYER ELECTRIC CO,2990
2011,PUBLIC SAFETY,REPAIR & MAINTENANCE SERVICES,SPECIFIC USE EQUIP  REPAIR & MAINTENANCE,MEYER ELECTRIC CO,188.85
2011,PUBLIC SAFETY,SUPPLIES,AGRICULTURE/GROUNDS SUPPLIES,MFA AGRI SERVICES-MACON,416
2011,TRANSPORTATION,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,MFA AGRI SERVICES-MACON,33.75
2011,NATURAL RESOURCES,SUPPLIES,RESALE MERCHANDISE,MFA AGRI SERVICES-MACON,19
2011,TRANSPORTATION,SUPPLIES,VEHICLE REPAIR SUPPLIES,MFA AGRI SERVICES-MACON,19.1
2011,NATURAL RESOURCES,EQUIPMENT RENTAL & LEASES,OTHER EQUIPMENT RENTALS,MFA AGRI SERVICES-MACON,30
2011,TRANSPORTATION,SUPPLIES,AGRICULTURE/GROUNDS SUPPLIES,MFA AGRI SERVICES-MACON,263.84
2011,NATURAL RESOURCES,SUPPLIES,CUSTODIAL SUPPLIES,MFA AGRI SERVICES-MACON,9
2011,PUBLIC SAFETY,FUEL & UTILITIES,PROPANE,MFA AGRI SERVICES-MACON,1352
2011,NATURAL RESOURCES,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,MFA AGRI SERVICES-MACON,15.9
2011,NATURAL RESOURCES,SUPPLIES,AGRICULTURE/GROUNDS SUPPLIES,MFA AGRI SERVICES-MACON,48.25
